"Sets","variable","value","station_id"
"Training set","Random Walk RMSE","0.00984615084305536","261"
"Test set","Random Walk RMSE","0.158939737199879","261"
"Training set","Neural Networks RMSE","0.00995751012485958","261"
"Test set","Neural Networks RMSE","0.160731068719649","261"
"Training set","Arima RMSE","0.00912719819997879","262"
"Test set","Arima RMSE","0.0696653836650724","262"
"Training set","Random Walk RMSE","0.00879833406586101","262"
"Test set","Random Walk RMSE","0.0930024250040084","262"
"Training set","Neural Networks RMSE","0.00960489696124481","262"
"Test set","Neural Networks RMSE","0.0717667260153545","262"
"Training set","Arima RMSE","0.013054769539471","263"
"Test set","Arima RMSE","0.050542493539258","263"
"Training set","Random Walk RMSE","0.0194853799315447","263"
"Test set","Random Walk RMSE","0.300894796285942","263"
"Training set","Neural Networks RMSE","0.0130555709508393","263"
"Test set","Neural Networks RMSE","0.0498871428372561","263"
"Training set","Arima RMSE","0.0128741130437729","264"
"Test set","Arima RMSE","0.174778866311659","264"
"Training set","Random Walk RMSE","0.0126729807329137","264"
"Test set","Random Walk RMSE","0.107826817868965","264"
"Training set","Neural Networks RMSE","0.0129540705852424","264"
"Test set","Neural Networks RMSE","0.144594730301947","264"
"Training set","Arima RMSE","0.0143049347857335","265"
"Test set","Arima RMSE","0.0210504898418488","265"
"Training set","Random Walk RMSE","0.0142564519669671","265"
"Test set","Random Walk RMSE","0.0193280339711913","265"
"Training set","Neural Networks RMSE","0.0143812835914849","265"
"Test set","Neural Networks RMSE","0.0210280020626853","265"
"Training set","Arima RMSE","0.0101243590046863","266"
"Test set","Arima RMSE","0.168480826717333","266"
"Training set","Random Walk RMSE","0.0100412273786571","266"
"Test set","Random Walk RMSE","0.170789692784406","266"
"Training set","Neural Networks RMSE","0.0102294258326602","266"
"Test set","Neural Networks RMSE","0.171543240418658","266"
"Training set","Arima RMSE","0.006360644434282","267"
"Test set","Arima RMSE","0.00620269106303989","267"
"Training set","Random Walk RMSE","0.00633931448007087","267"
"Test set","Random Walk RMSE","0.00711313913748424","267"
"Training set","Neural Networks RMSE","0.00636103226663103","267"
"Test set","Neural Networks RMSE","0.00620269106303989","267"
"Training set","Arima RMSE","0.0153765635491595","268"
"Test set","Arima RMSE","0.025526016207575","268"
"Training set","Random Walk RMSE","0.0153534722003646","268"
"Test set","Random Walk RMSE","0.0269787527598623","268"
"Training set","Neural Networks RMSE","0.0154162744455363","268"
"Test set","Neural Networks RMSE","0.0255260162075745","268"
"Training set","Arima RMSE","0.0108447313021851","270"
"Test set","Arima RMSE","0.0401822870397555","270"
"Training set","Random Walk RMSE","0.010633526480341","270"
"Test set","Random Walk RMSE","0.0433812769427899","270"
"Training set","Neural Networks RMSE","0.0110117947989665","270"
"Test set","Neural Networks RMSE","0.00687451665253995","270"
"Training set","Arima RMSE","0.0108973982563167","271"
"Test set","Arima RMSE","0.0476687204886341","271"
"Training set","Random Walk RMSE","0.0106817090174589","271"
"Test set","Random Walk RMSE","0.0796058201476549","271"
"Training set","Neural Networks RMSE","0.0110438260320429","271"
"Test set","Neural Networks RMSE","0.0552483121663016","271"
"Training set","Arima RMSE","0.00759338647006647","274"
"Test set","Arima RMSE","0.117957619467014","274"
"Training set","Random Walk RMSE","0.0124054287936178","274"
"Test set","Random Walk RMSE","0.0918912257568809","274"
"Training set","Neural Networks RMSE","0.00760098396038812","274"
"Test set","Neural Networks RMSE","0.117900173533296","274"
"Training set","Arima RMSE","0.00965695944978005","275"
"Test set","Arima RMSE","0.0843201041452485","275"
"Training set","Random Walk RMSE","0.0096376533847145","275"
